Train/StopIter,Time/Epoch,Train/LR,Misc/Nu_star,Metrics/EpCost,Misc/xHx,Loss/Loss_pi/Delta,Train/PolicyRatio/Min,Train/PolicyRatio/Max,_timestamp,Train/PolicyRatio,Misc/Alpha,Misc/FinalStepNorm,Misc/q,Misc/OptimCase,Metrics/EpLen,Misc/H_inv_g,_step,Misc/A,Train/Epoch,Time/Total,Loss/Loss_cost_critic,Metrics/EpRet,Loss/Loss_cost_critic/Delta,_runtime,Train/PolicyRatio/Std,Train/KL,Value/Adv,Loss/Loss_reward_critic,Misc/B,Time/Update,Misc/r,Loss/Loss_pi,Time/Rollout,Misc/AcceptanceStep,Misc/Lambda_star,Loss/Loss_reward_critic/Delta,TotalEnvSteps,Value/cost,Train/PolicyStd,Misc/cost_gradient_norm,Misc/gradient_norm,Misc/s,Value/reward,Time/FPS,Train/Entropy
10,112.55217742919922,0,40.62348556518555,0.25999999046325684,0.017346199601888657,-0.0011424355034250766,0.9998388290405273,0.9998388290405273,1743320962.022903,0.9998388290405273,1.0737735033035278,0.23896153271198273,0.017346199601888657,0,1000,0.22770565748214722,49,0.017226694151759148,48,5512.50146484375,0.0031229970045387745,-6.100467681884766,-0.005223740357905626,5626.914052592,0.00011399318464100361,0.00016175648488570005,3.814697002724188e-09,0.022909708321094513,-5577.8837890625,15.54778003692627,-3.805686719715595e-05,-0.0012674032477661967,97.00436401367188,1,0.0,0.003109751269221306,980000.0,0.06099198758602142,0.9782595634460449,0.0036745970137417316,0.25866854190826416,1.2109247109037824e-05,-0.5993919372558594,177.6953582763672,1.396936058998108
10,112.96503448486328,0,94.53166961669922,0.25999999046325684,0.018258003517985344,0.0008945897279772907,0.9997245669364929,0.9997245669364929,1743321075.1231546,0.9997245669364929,1.046618103981018,0.18626318871974945,0.018258003517985344,0,1000,0.20486204326152802,50,0.018254853785037994,49,5625.673828125,0.001366939046420157,-6.098177433013916,-0.0017560579581186175,5738.86340915,0.00019477463501971215,0.00014700520841870457,-1.5258788677030566e-09,0.016656091436743736,-30204.45703125,15.57913589477539,-2.654938953128294e-06,-0.000372813519788906,97.38584899902344,1,0.0,-0.006253616884350777,1000000.0,0.051223695278167725,0.9796521067619324,0.0017346384702250361,0.2900526523590088,2.228078756161267e-06,-0.5738856196403503,177.0459442138672,1.3983136415481567
10,111.84779357910156,0,7.981994152069092,0.20000000298023224,0.02201244793832302,-0.0005790675349999219,0.9996685981750488,0.9996685981750488,1743321187.07252,0.9996685981750488,0.9531927704811096,0.3116883337497711,0.02201244793832302,0,1000,0.22358407080173492,51,0.021968984976410866,50,5737.65869140625,0.01828325167298317,-5.764420032501221,0.016916312626563013,5851.079902666,0.00023433647584170103,0.00015261130465660244,7.629394005448376e-09,0.013990113511681557,-127.40446472167969,15.457584381103516,-0.00011680505122058094,-0.0009518810547888279,96.39016723632812,1,0.0,-0.0026659779250621796,1020000.0,0.038345832377672195,0.9799272418022156,0.012566259130835533,0.3003213405609131,0.0003139014879707247,-0.48976805806159973,178.81443786621094,1.3986212015151978
10,112.07733917236328,0,45.65510559082031,0.07000000029802322,0.013751205056905746,9.099033195525408e-05,1.0003747940063477,1.0003747940063477,1743321299.289125,1.0003747940063477,1.2059921026229858,0.18417948484420776,0.013751205056905746,0,1000,0.2099267989397049,52,0.013680662959814072,51,5849.8349609375,0.0011805606773123145,-5.326350212097168,-0.017102690995670855,5963.742812633,0.0002650755923241377,0.0001985225680982694,2.2888182460434336e-09,0.022312920540571213,-510.6552734375,15.41824722290039,-2.6016574338427745e-05,-0.0008608907228335738,96.65906524658203,1,0.0,0.008322807028889656,1040000.0,0.04203835502266884,0.993218719959259,0.005028941668570042,0.15922261774539948,9.585139196133241e-06,-0.5634583234786987,178.44821166992188,1.4120534658432007
10,112.50390625,0,291.8576354980469,0.07000000029802322,0.021555166691541672,-0.00581523182336241,0.999255359172821,0.999255359172821,1743321411.9520638,0.999255359172821,0.9632503986358643,0.10327597707509995,0.021555166691541672,0,1000,0.21990300714969635,53,0.017877908423542976,52,5962.4794921875,0.0001648224424570799,-5.147857666015625,-0.0010157382348552346,6075.013883213,0.000526554649695754,0.00017796558677218854,7.629394338515283e-10,0.016985323280096054,-20869.296875,15.235504150390625,-2.9383667424554005e-05,-0.006676122546195984,97.26837158203125,1,0.0,-0.005327597260475159,1060000.0,0.03806643933057785,0.9995643496513367,0.0008833034080453217,0.24424730241298676,2.2479447636669647e-07,-0.5338163375854492,177.7716064453125,1.4184776544570923
10,111.15499114990234,0,1412.324462890625,0.07000000029802322,0.017814766615629196,0.006602694309549406,1.00001859664917,1.00001859664917,1743321523.2229645,1.00001859664917,1.0595581531524658,0.0009731103200465441,0.017814766615629196,0,1000,0.20965920388698578,54,0.017814289778470993,53,6073.79345703125,3.6846781767962966e-06,-4.448480606079102,-0.0001611377642802836,6188.308582948,1.3149816368240863e-05,1.157634699211485e-07,0.0,0.012420437298715115,-488691.78125,14.853876113891602,-6.916766892572923e-08,-7.342823664657772e-05,96.30108642578125,1,0.0,-0.0045648859813809395,1080000.0,0.032035522162914276,0.9992976784706116,3.8982954720268026e-05,0.24350892007350922,2.67691684791016e-11,-0.41569188237190247,179.92893981933594,1.4182190895080566
10,113.19097900390625,0,1413.921630859375,0.07000000029802322,0.00985998846590519,8.075814457697561e-05,0.9999994039535522,0.9999994039535522,1743321636.5175688,0.9999993443489075,1.4242182970046997,0.0002514915249776095,0.00985998846590519,0,1000,0.19810624420642853,55,0.009859983809292316,54,6187.1005859375,8.057174341047357e-07,-4.088810920715332,-2.878960742691561e-06,6299.380926635,4.256623071796639e-07,4.220854776804117e-09,6.103515470812226e-09,0.05849006772041321,-489797.75,15.703174591064453,6.91975454714111e-09,7.329907930397894e-06,97.48776245117188,1,0.0,0.04606963042169809,1100000.0,0.02665410190820694,0.9992794394493103,2.3221356968861073e-05,0.1386517882347107,4.129533520691453e-12,-0.43002068996429443,176.69252014160156,1.4182008504867554
10,110.97472381591797,0,0.0,0.0,0.015745775774121284,-0.013103436146593594,0.9991838335990906,0.9991838335990906,1743321747.5900824,0.9991838335990906,1.1270231008529663,0.2837473154067993,0.015745775774121284,1,1000,0.25176697969436646,56,0.015745775774121284,55,6298.17822265625,4.967240556652541e-07,-4.079550743103027,-3.089933784394816e-07,6411.202047749,0.0005771027645096183,0.00017160960123874247,-7.629394338515283e-10,0.029071729630231857,0.019999999552965164,15.439427375793457,9.700689140856866e-10,-0.013096106238663197,95.53527069091797,1,0.8872929811477661,-0.02941833809018135,1120000.0,0.022277044132351875,0.9993837475776672,2.2536598407896236e-05,0.18053081631660461,3.750288274373403e-12,-0.5908451080322266,180.22122192382812,1.4183096885681152
10,111.72652435302734,0,0.6158844828605652,0.0,0.017942139878869057,0.01911731157451868,0.9994588494300842,0.9994588494300842,1743321859.411294,0.9994588494300842,1.0557905435562134,0.0,0.017942139878869057,1,1000,0.2317473292350769,57,0.017942136153578758,56,6409.9990234375,3.4679041505114583e-07,-3.6241400241851807,-1.499336406141083e-07,6524.705937728,0.0006021321751177311,1.0122003146761926e-07,6.103515470812226e-09,0.012681825086474419,0.019999999552965164,14.590376853942871,-6.15954309779454e-09,0.006021205335855484,97.13612365722656,0,-0.6159543395042419,-0.01638990454375744,1140000.0,0.01856268383562565,0.995166003704071,1.6677449821145274e-05,0.20986725389957428,1.134004131916888e-12,-0.44148319959640503,179.00852966308594,1.4140664339065552
10,113.34025573730469,0,0.0,0.0,0.015483282506465912,-0.01881890371441841,1.0009078979492188,1.0009078979492188,1743321972.9155762,1.0009078979492188,1.1365363597869873,0.29721495509147644,0.015483282506465912,1,1000,0.2615092992782593,58,0.015483282506465912,57,6523.4345703125,2.424749823148886e-07,-3.2257277965545654,-1.0431543273625721e-07,6637.85502816,0.000641924561932683,0.00015805868315510452,6.103515470812226e-09,0.014888137578964233,0.019999999552965164,15.424736022949219,1.9701307252262268e-09,-0.012797698378562927,97.91549682617188,1,0.8798660039901733,0.0022063124924898148,1160000.0,0.01548175048083067,1.002395510673523,1.4797784388065338e-05,0.1478843092918396,6.946506087360249e-13,-0.49384254217147827,176.45980834960938,1.421291708946228
