_timestamp,Loss/Loss_pi,_step,_runtime,Metrics/EpLen,Train/Entropy,Time/Total,Train/LR,Train/Epoch,Metrics/LagrangeMultiplier,Loss/Loss_reward_critic/Delta,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Safety/ShieldLagrangeMultiplier,Safety/shield_violation,Safety/ShieldLagrangeMultiplier/Std,Metrics/EpRet,Metrics/LagrangeMultiplier/Min,Train/PolicyRatio/Std,Time/FPS,Value/cost,Safety/ShieldLagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier/Min,Train/PolicyStd,Train/PolicyRatio,Metrics/LagrangeMultiplier/Std,Train/StopIter,Safety/EpCostShield,Time/Rollout,Time/Epoch,Loss/Loss_pi/Delta,Metrics/EpCost,Train/PolicyRatio/Max,Loss/Loss_reward_critic,Time/Update,TotalEnvSteps,Value/Adv,Train/KL,Metrics/LagrangeMultiplier/Max,Value/reward,Safety/shield_adv_c,Train/PolicyRatio/Min
1746546781.124208,-0.29819223284721375,20,5220.876918183,1000,1.0395933389663696,4962.7451171875,0.00023999999393709004,19,0.7020589113235474,-0.0006200368516147137,2.0048232078552246,-0.8006486892700195,0.5964230895042419,3.5329926013946533,0,0.4297977387905121,0.7020589113235474,0.012082955799996853,83.11859893798828,1.7649662494659424,0.5964230895042419,0.5964230895042419,0.687730610370636,1.0080636739730835,0,40,13.699999809265137,88.80619049072266,240.6200408935547,0.019047975540161133,9.710000038146973,1.0080636739730835,0.0054942588321864605,151.81378173828125,400000.0,-0.2810070812702179,0.01148818340152502,0.7020589113235474,0.03928428515791893,NaN,1.0080636739730835
1746547037.7429674,-0.18911176919937134,21,5456.957789583,1000,1.0284347534179688,5219.296875,0.00023700000019744039,20,0.7345479130744934,-0.002301380503922701,2.9410111904144287,0.9361879825592041,0.6219680309295654,3.5613043308258057,0,0.49848702549934387,0.7345479130744934,0.011486529372632504,77.99919128417969,1.18588387966156,0.6219680309295654,0.6219680309295654,0.6804132461547852,1.0041989088058472,0,40,44.95000076293945,103.64198303222656,256.41290283203125,0.10908046364784241,9.869999885559082,1.0041989088058472,0.0031928783282637596,152.77078247070312,420000.0,0.06194359436631203,0.009908335283398628,0.7345479130744934,0.04176699370145798,NaN,1.0041989088058472
1746547273.824522,-0.27817967534065247,22,5700.729179566,1000,1.0216681957244873,5455.48193359375,0.00023400000645779073,21,0.7658226490020752,0.0005103116855025291,2.29213285446167,-0.6488783359527588,0.6465233564376831,3.4399616718292236,0,0.4180927574634552,0.7658226490020752,0.0116043109446764,84.75353240966797,1.457531452178955,0.6465233564376831,0.6465233564376831,0.6763403415679932,1.005948781967163,0,40,18.049999237060547,89.24439239501953,235.97837829589844,-0.08906790614128113,7.429999828338623,1.005948781967163,0.0037031900137662888,146.73390197753906,440000.0,0.0009217970073223114,0.011187618598341942,0.7658226490020752,0.04262788966298103,NaN,1.005948781967163
1746547517.5954208,-0.33132821321487427,23,5950.620868282,1000,0.9914898872375488,5699.2431640625,0.00023099999816622585,22,0.7960743308067322,0.001147598959505558,2.1777427196502686,-0.11439013481140137,0.6701860427856445,4.323008060455322,0,0.3835217356681824,0.7960743308067322,0.012647322379052639,82.0784683227539,1.5565214157104492,0.6701860427856445,0.6701860427856445,0.6564426422119141,1.009842038154602,0,40,17.850000381469727,90.90815734863281,243.6692657470703,-0.0531485378742218,7.690000057220459,1.009842038154602,0.004850788973271847,152.7610321044922,460000.0,0.25536128878593445,0.014298449270427227,0.7960743308067322,0.034008827060461044,NaN,1.009842038154602
1746547767.4873486,-0.2519698143005371,24,6199.806666396,1000,0.9794222116470337,5949.14306640625,0.0002280000044265762,23,0.8255456686019897,-0.0010328942444175482,2.4446661472320557,0.2669234275817871,0.694023072719574,3.933755397796631,0,0.43510353565216064,0.8255456686019897,0.012789168395102024,80.06815338134766,0.9134601354598999,0.694023072719574,0.694023072719574,0.6490635871887207,1.0056829452514648,0,40,32.29999923706055,96.15760040283203,249.78721618652344,0.07935839891433716,8.289999961853027,1.0056829452514648,0.0038178947288542986,153.62954711914062,480000.0,-0.02417650818824768,0.013250798918306828,0.8255456686019897,0.03718159347772598,NaN,1.0056829452514648
1746548016.6730356,-0.27820783853530884,25,6454.377570761,1000,0.9576014876365662,6198.322265625,0.00022499999613501132,24,0.8546183705329895,-8.615083061158657e-05,3.0955681800842285,0.6509020328521729,0.7179164290428162,4.425169467926025,0,0.4021797478199005,0.8546183705329895,0.012439307756721973,80.29483032226562,1.3799335956573486,0.7179164290428162,0.7179164290428162,0.6354604363441467,1.0078240633010864,0,40,30.5,100.60175323486328,249.08204650878906,-0.02623802423477173,9.6899995803833,1.0078240633010864,0.003731743898242712,148.48019409179688,500000.0,0.05532078444957733,0.012107273563742638,0.8546183705329895,0.03604401275515556,NaN,1.0078240633010864
1746548271.2440863,-0.2829328179359436,26,6694.36133694,1000,0.9459890127182007,6452.8955078125,0.00022200000239536166,25,0.8831311464309692,0.00010935519821941853,3.716292142868042,0.6207239627838135,0.7425054907798767,5.354270935058594,0,0.40083616971969604,0.8831311464309692,0.012486065737903118,78.59685516357422,1.8660675287246704,0.7425054907798767,0.7425054907798767,0.6282849907875061,1.0059802532196045,0,40,40.5,107.83663940429688,254.46310424804688,-0.004724979400634766,8.649999618530273,1.0059802532196045,0.0038410990964621305,146.6263427734375,520000.0,0.3601079285144806,0.01312163844704628,0.8831311464309692,0.03878951817750931,NaN,1.0059802532196045
1746548511.2280724,-0.20250090956687927,27,6931.682663798,1000,0.9362109303474426,6692.88232421875,0.00021899999410379678,26,0.9112533926963806,0.002350080059841275,2.655472993850708,-1.060819149017334,0.7669695019721985,2.9915289878845215,0,0.4186866879463196,0.9112533926963806,0.01246789749711752,83.37321472167969,0.9279062747955322,0.7669695019721985,0.7669695019721985,0.6218523979187012,1.0053181648254395,0,40,28.549999237060547,92.23118591308594,239.8852081298828,0.08043190836906433,9.119999885559082,1.0053181648254395,0.006191179156303406,147.6539306640625,540000.0,0.2423279583454132,0.014271990396082401,0.9112533926963806,0.03947301208972931,NaN,1.0053181648254395
1746548748.5490448,-0.2526271641254425,28,7176.02933197,1000,0.9227617383003235,6930.19677734375,0.00021600000036414713,27,0.9393140077590942,0.0003281836397945881,2.6479310989379883,-0.0075418949127197266,0.7913589477539062,3.714297294616699,0,0.4400830864906311,0.9393140077590942,0.012871780432760715,84.31010437011719,1.2110744714736938,0.7913589477539062,0.7913589477539062,0.6131834387779236,1.0065333843231201,0,40,28.899999618530273,88.83885192871094,237.219482421875,-0.05012625455856323,10.4399995803833,1.0065333843231201,0.006519362796097994,148.38055419921875,560000.0,-0.0462251715362072,0.01148969680070877,0.9393140077590942,0.03281806781888008,NaN,1.0065333843231201
1746548992.8960543,-0.16821914911270142,29,7416.108204426,1000,0.9131354689598083,7174.5537109375,0.00021300000662449747,28,0.9678344130516052,-0.0016538961790502071,2.9617319107055664,0.3138008117675781,0.8169238567352295,3.8501195907592773,0,0.47385650873184204,0.9678344130516052,0.012755022384226322,81.88450622558594,1.341112732887268,0.8169238567352295,0.8169238567352295,0.6073523163795471,1.0029107332229614,0,40,48.5,96.3949203491211,244.2464599609375,0.08440801501274109,12.949999809265137,1.0029107332229614,0.004865466617047787,147.85147094726562,580000.0,0.35394322872161865,0.012532487511634827,0.9678344130516052,0.03792976588010788,NaN,1.0029107332229614
