_runtime,Train/Entropy,Train/PolicyRatio/Min,Time/Update,TotalEnvSteps,Time/Total,_timestamp,Time/Rollout,Value/cost,Metrics/LagrangeMultiplier/Std,Safety/ShieldLagrangeMultiplier/Min,Train/LR,Safety/shield_violation,Metrics/LagrangeMultiplier/Min,_step,Value/Adv,Loss/Loss_reward_critic,Metrics/EpCost,Train/PolicyRatio,Loss/Loss_reward_critic/Delta,Train/Epoch,Loss/Loss_pi/Delta,Safety/ShieldLagrangeMultiplier/Std,Value/reward,Loss/Loss_cost_critic/Delta,Loss/Loss_pi,Safety/EpCostShield,Train/PolicyRatio/Std,Metrics/LagrangeMultiplier,Time/Epoch,Safety/ShieldLagrangeMultiplier/Max,Train/PolicyRatio/Max,Loss/Loss_cost_critic,Time/FPS,Train/KL,Train/PolicyStd,Metrics/EpRet,Metrics/EpLen,Metrics/LagrangeMultiplier/Max,Safety/ShieldLagrangeMultiplier,Train/StopIter,Safety/shield_adv_c
9091.378842818,0.7609710693359375,1.0117021799087524,106.83724975585938,900000.0,8895.96484375,1746505296.59163,85.8385009765625,0.8149666786193848,0,1.3174201250076294,0.00016500000492669642,3.5614359378814697,1.425964593887329,45,-0.02195468544960022,0.004776529502123594,10.989999771118164,1.011702060699463,0.00016766460612416267,44,-0.016753315925598145,0,0.023238059133291245,-0.6417737007141113,-0.36331772804260254,16.149999618530273,0.01329283881932497,1.425964593887329,192.67581176757812,1.3174201250076294,1.0117021799087524,2.141667127609253,103.80130004882812,0.01344287395477295,0.5203230977058411,0.17308975756168365,1000,1.425964593887329,1.3174201250076294,40,NaN
9286.055071309,0.745123028755188,1.0129648447036743,107.36011505126953,920000.0,9090.4482421875,1746505491.0593507,87.04680633544922,0.8867408037185669,0,1.341307520866394,0.00016199999663513154,3.7994632720947266,1.4532630443572998,46,-0.19707809388637543,0.004754787310957909,12.050000190734863,1.0129648447036743,-2.1742191165685654e-05,45,0.000882565975189209,0,0.011609265580773354,-0.21719348430633545,-0.36243516206741333,16.799999237060547,0.013680225238204002,1.4532630443572998,194.40696716308594,1.341307520866394,1.0129648447036743,1.9244736433029175,102.87696838378906,0.013857015408575535,0.5122934579849243,0.1783033013343811,1000,1.4532630443572998,1.341307520866394,40,NaN
9481.585451166,0.7189807891845703,1.0115668773651123,107.46514129638672,940000.0,9285.1240234375,1746505685.7355876,87.15021514892578,0.9973472952842712,0,1.364894986152649,0.00015900000289548188,4.616556167602539,1.4813719987869263,47,-0.18779300153255463,0.0035928215365856886,14.34000015258789,1.0115668773651123,-0.00116196577437222,46,-0.04754382371902466,0,0.044695619493722916,0.8907598257064819,-0.409978985786438,25.549999237060547,0.013637490570545197,1.4813719987869263,194.61541748046875,1.364894986152649,1.0115668773651123,2.8152334690093994,102.76677703857422,0.014257152564823627,0.49933525919914246,0.21373900771141052,1000,1.4813719987869263,1.364894986152649,40,NaN
9678.918749535,0.7165020108222961,1.0080608129501343,107.95320129394531,960000.0,9480.6484375,1746505881.265931,87.50867462158203,1.3126776218414307,0,1.3890198469161987,0.000155999994603917,4.5257673263549805,1.5095096826553345,48,-0.09725407510995865,0.0049622515216469765,11.020000457763672,1.0080608129501343,0.0013694299850612879,47,0.119222491979599,0,0.05650242790579796,0.7889800071716309,-0.290756493806839,37.150001525878906,0.013727754354476929,1.5095096826553345,195.46192932128906,1.3890198469161987,1.0080608129501343,3.6042134761810303,102.32171630859375,0.014597713947296143,0.4982151389122009,0.19668236374855042,1000,1.5095096826553345,1.3890198469161987,40,NaN
9876.156288574,0.7146269083023071,1.0079271793365479,108.74324035644531,980000.0,9677.9541015625,1746506078.599242,88.49583435058594,1.4117032289505005,0,1.4145424365997314,0.00015300000086426735,4.865018367767334,1.5383801460266113,49,0.2681414484977722,0.006019230931997299,14.319999694824219,1.0079271793365479,0.0010569794103503227,48,0.00872531533241272,0,0.055295947939157486,1.0303866863250732,-0.28203117847442627,51.0,0.013949906453490257,1.5383801460266113,197.2391357421875,1.4145424365997314,1.0079271793365479,4.6346001625061035,101.3997573852539,0.015630215406417847,0.49757835268974304,0.22999785840511322,1000,1.5383801460266113,1.4145424365997314,40,NaN
10072.957908607,0.7048666477203369,1.0121263265609741,108.3984603881836,1000000.0,9875.2138671875,1746506275.8367949,88.76515197753906,1.5070987939834595,0,1.439384937286377,0.0001500000071246177,4.759799003601074,1.567711353302002,50,0.07898035645484924,0.005204805638641119,13.369999885559082,1.0121263265609741,-0.0008144252933561802,49,-0.077216237783432,0,0.06953929364681244,-1.3423125743865967,-0.3592474162578583,22.25,0.013506750576198101,1.567711353302002,197.16368103027344,1.439384937286377,1.0121263265609741,3.292287588119507,101.43856048583984,0.014388390816748142,0.49274855852127075,0.2549188733100891,1000,1.567711353302002,1.439384937286377,40,NaN
10266.692728627,0.6978945732116699,1.0092238187789917,108.87361145019531,1020000.0,10071.994140625,1746506472.6383944,87.83409118652344,1.3313541412353516,0,1.4639549255371094,0.00014699999883305281,4.010849952697754,1.5974512100219727,51,0.1365303099155426,0.006777646020054817,13.329999923706055,1.0092238187789917,0.0015728403814136982,50,0.04809698462486267,0,0.059486206620931625,-0.6562798023223877,-0.3111504316329956,26.950000762939453,0.013751085847616196,1.5974512100219727,196.70774841308594,1.4639549255371094,1.0092238187789917,2.636007785797119,101.67367553710938,0.0162686575204134,0.48938533663749695,0.4131041467189789,1000,1.5974512100219727,1.4639549255371094,40,NaN
10462.127439699,0.6836119294166565,1.0127949714660645,111.23332977294922,1040000.0,10265.7470703125,1746506666.3732085,82.42483520507812,1.192408800125122,0,1.486756443977356,0.00014400000509340316,4.4029693603515625,1.6269450187683105,52,0.05762200057506561,0.004733978770673275,10.460000038146973,1.0127949714660645,-0.002043667249381542,51,-0.13049840927124023,0,0.0441366583108902,-0.6788206100463867,-0.44164884090423584,6.199999809265137,0.013094873167574406,1.6269450187683105,193.65821838378906,1.486756443977356,1.0127949714660645,1.9571871757507324,103.27472686767578,0.013071618042886257,0.4825439453125,0.2900203466415405,1000,1.6269450187683105,1.486756443977356,40,NaN
10662.036745463,0.6764208078384399,1.01020348072052,108.48167419433594,1060000.0,10461.1982421875,1746506861.807943,86.89176940917969,0.9278443455696106,0,1.5099549293518066,0.00014099999680183828,4.313077449798584,1.6560487747192383,53,-0.0972248762845993,0.004214264452457428,9.670000076293945,1.01020348072052,-0.000519714318215847,52,0.12533092498779297,0,0.06104903668165207,-0.045305490493774414,-0.31631791591644287,33.25,0.013529797084629536,1.6560487747192383,195.37350463867188,1.5099549293518066,1.01020348072052,1.911881685256958,102.36802673339844,0.013177618384361267,0.4792003035545349,0.29427608847618103,1000,1.6560487747192383,1.5099549293518066,40,NaN
10853.752042957,0.6998249292373657,1.0011917352676392,109.09257507324219,1080000.0,10661.0966796875,1746507061.7172506,90.74506378173828,0.5564706921577454,0,1.5364618301391602,0.00013800000306218863,2.7526094913482666,1.6838428974151611,54,0.270033061504364,0.006254309322685003,5.510000228881836,1.0011917352676392,0.0020400448702275753,53,0.39638423919677734,0,0.05445069447159767,1.588716745376587,0.08006632328033447,78.9000015258789,0.0153543995693326,1.6838428974151611,199.8376922607422,1.5364618301391602,1.0011917352676392,3.500598430633545,100.08122253417969,0.016562465578317642,0.4904719591140747,0.18689490854740143,1000,1.6838428974151611,1.5364618301391602,40,NaN
