total_steps,EpRet,EpCost,CostRate
141000,4.713016261041929,0.0,0.03704281590649579
142000,1.4728088241088066,0.0,0.03678194916865612
143000,1.7309796017240866,0.0,0.03652473094217442
144000,0.460328493139609,0.0,0.03627108521586955
145000,0.941596460419392,0.0,0.036020938075435
146000,1.1068684037401004,486.0,0.03910300755484627
147000,2.9457142402793335,0.0,0.038836998891148916
148000,1.9287058774005683,0.0,0.038574584963411915
149000,4.711760116508826,0.0,0.0383156933939154
150000,6.089122569745216,0.0,0.0380602537350249
151000,4.62994558247327,0.0,0.03780819740528083
152000,1.4760476008977121,0.0,0.03755945762801071
153000,1.6106843905850678,0.0,0.03731396937234884
154000,1.995407752145943,95.0,0.03768855641919753
155000,3.792552173386031,0.0,0.03744540287356692
156000,-0.03274471837166393,93.0,0.03780152436874595
157000,2.456131265480691,0.0,0.03756074879457831
158000,2.0172011058232093,0.0,0.03732302103177868
159000,6.845529080553138,17.0,0.03719520248555022
160000,0.3368440690556842,0.0,0.03696273101706886
161000,5.930575631281402,0.0,0.036733147410853484
162000,6.245289873562535,33.0,0.03671010314878487
163000,3.503998402805619,71.0,0.03692047190473561
164000,2.2615989331752218,0.0,0.036695345703327456
165000,6.351508854656451,0.0,0.03647294832089892
166000,2.7299765111720227,0.0,0.036253230441147234
167000,-0.45368095683727083,0.0,0.03603614392900556
168000,1.1887878751945822,0.0,0.03582164179548688
169000,20.392187303168324,33.0,0.03580494559139403
170000,0.5415499132600801,0.0,0.03559432702545309
171000,4.162753024741395,0.0,0.03538617184895818
172000,2.6268443610933425,117.0,0.03586067360856749
173000,0.9523056996257337,0.0,0.035653385279683696
174000,6.7427653130590715,0.0,0.035448479588963154
175000,0.49557804213630896,83.0,0.03572020411545209
176000,8.049822692638704,0.0,0.03551724725708669
177000,5.0608392108482745,0.0,0.03531658370951248
178000,0.12801272698892108,0.0,0.03511817482120686
179000,1.462007295787107,0.0,0.03492198280437321
180000,2.04623548632686,10.0,0.03478352657514764
181000,7.051851335678636,14.0,0.03466869982707087
182000,1.3833949277035238,0.0,0.03447821141874406
183000,0.973576221562281,0.0,0.03428980486232165
184000,2.373837432946985,34.0,0.034288229827336016
185000,0.7723409151857229,0.0,0.03410288704263266
